Candidate_ID,Name,Applied_Role,Years_Exp,Expected_Salary,Gender,Resume_Content
1000,Hannah Williams,HR Generalist,7,1555758,Female,"Candidate specializing in HR Generalist. Expert in Employee Engagement, Payroll. Past determine culture."
1001,Madison Peters,HR Generalist,0,1046765,Non-Binary,"Candidate specializing in HR Generalist. Expert in Compliance, Payroll. Month while treatment that."
1002,Natalie Moore PhD,HR Generalist,1,1077753,Female,"Candidate specializing in HR Generalist. Expert in Payroll, Employee Engagement. Pick think picture."
1003,Olivia Lee,Data Analyst,13,1501827,Non-Binary,"Candidate specializing in Data Analyst. Expert in Power BI, SQL. Important explain everybody girl it pick."
1004,Kayla Harvey,HR Generalist,6,1630993,Non-Binary,"Candidate specializing in HR Generalist. Expert in Compliance, Employee Engagement. Discuss defense network rich them expect certain."
1005,Amy Vaughan,HR Operations,0,602430,Non-Binary,"Candidate specializing in HR Operations. Expert in Process Mapping, SAP. Such last partner life computer push lot site."
1006,Annette Morales,People Analyst,7,523836,Male,"Candidate specializing in People Analyst. Expert in HRIS, Workforce Planning. Debate newspaper article minute get positive necessary game."
1007,Jodi Alexander,HR Operations,4,1835809,Non-Binary,"Candidate specializing in HR Operations. Expert in SuccessFactors, VBA. Service we recently serious available first."
1008,Amanda Cowan,HR Generalist,3,726907,Male,"Candidate specializing in HR Generalist. Expert in Compliance, Payroll. Attention friend project trial direction."
1009,Carolyn Fowler,People Analyst,14,1610598,Non-Binary,"Candidate specializing in People Analyst. Expert in Attrition Analysis, Workforce Planning. Or sense we store."
1010,Jack Morgan,HR Operations,1,644185,Female,"Candidate specializing in HR Operations. Expert in VBA, SuccessFactors. Resource sound Mr during soon year."
1011,Anthony Spears,Data Analyst,15,506051,Female,"Candidate specializing in Data Analyst. Expert in SQL, Power BI. Side majority health rest yard night."
1012,Nicholas Webster,Data Analyst,7,1142300,Non-Binary,"Candidate specializing in Data Analyst. Expert in SQL, Statistics. Central important budget suggest important support."
1013,Jaime Lopez,People Analyst,14,1682950,Female,"Candidate specializing in People Analyst. Expert in Workforce Planning, Predictive Modeling. Huge top area reason owner."
1014,Vincent Snyder,HR Generalist,5,1462244,Non-Binary,"Candidate specializing in HR Generalist. Expert in Payroll, Onboarding. About produce build next still."
1015,Brian Rivera,People Analyst,5,1046798,Male,"Candidate specializing in People Analyst. Expert in Predictive Modeling, Attrition Analysis. Visit improve recent news."
1016,Kevin Jefferson,HR Generalist,3,1837784,Female,"Candidate specializing in HR Generalist. Expert in Compliance, Payroll. Read lay culture top star study economic."
1017,Brittany Henderson,People Analyst,15,1183584,Male,"Candidate specializing in People Analyst. Expert in Predictive Modeling, Workforce Planning. Put fish shake important arm."
1018,Charles Jones,HR Generalist,4,1885282,Male,"Candidate specializing in HR Generalist. Expert in Compliance, Onboarding. Personal decide think attack."
1019,Logan Simpson,People Analyst,2,763361,Female,"Candidate specializing in People Analyst. Expert in Attrition Analysis, HRIS. Spring win response law institution among edge."
1020,Emily Parker,People Analyst,2,1213777,Male,"Candidate specializing in People Analyst. Expert in Attrition Analysis, Workforce Planning. Hot event one service."
1021,Jamie Brown,HR Operations,0,943845,Male,"Candidate specializing in HR Operations. Expert in Process Mapping, VBA. Speech home really forget."
1022,Kelly Sanchez,HR Generalist,1,1407443,Female,"Candidate specializing in HR Generalist. Expert in Onboarding, Employee Engagement. Picture scene which subject others."
1023,Scott Andersen,Data Analyst,1,1971053,Non-Binary,"Candidate specializing in Data Analyst. Expert in Statistics, Power BI. Within issue call ever team."
1024,Rachel Pace,HR Generalist,14,1864733,Non-Binary,"Candidate specializing in HR Generalist. Expert in Onboarding, Payroll. Out economic green inside raise."
1025,Tyler Carr,HR Generalist,9,1214431,Female,"Candidate specializing in HR Generalist. Expert in Onboarding, Payroll. Discover interesting agency but."
1026,David White PhD,Data Analyst,9,480823,Male,"Candidate specializing in Data Analyst. Expert in Python, Statistics. Yeah as bank fear."
1027,Andrew Stone,Data Analyst,3,731630,Female,"Candidate specializing in Data Analyst. Expert in Tableau, SQL. Step cultural report."
1028,Megan Silva,People Analyst,0,1841140,Non-Binary,"Candidate specializing in People Analyst. Expert in Workforce Planning, HRIS. Rise conference after difference capital language."
1029,Cheyenne Delacruz,People Analyst,4,1047454,Female,"Candidate specializing in People Analyst. Expert in HRIS, Attrition Analysis. Wait address thousand choose behind."
1030,April Watson,HR Generalist,1,1882380,Female,"Candidate specializing in HR Generalist. Expert in Onboarding, Payroll. Single cultural line still rise eight."
1031,David Williams,HR Operations,0,896242,Female,"Candidate specializing in HR Operations. Expert in SuccessFactors, Process Mapping. Top lay benefit order almost ever."
1032,Angela Lewis,HR Operations,10,660391,Non-Binary,"Candidate specializing in HR Operations. Expert in SAP, VBA. President edge arrive experience throughout."
1033,Amy Townsend,People Analyst,3,917267,Female,"Candidate specializing in People Analyst. Expert in Workforce Planning, HRIS. Body pattern recently."
1034,Lauren Baker,People Analyst,0,1395297,Female,"Candidate specializing in People Analyst. Expert in Predictive Modeling, HRIS. Leave nice number reduce often."
1035,Michael Grant,HR Operations,13,986585,Female,"Candidate specializing in HR Operations. Expert in SuccessFactors, Process Mapping. Half probably break."
1036,Victor Nelson,HR Operations,0,1620425,Female,"Candidate specializing in HR Operations. Expert in Process Mapping, VBA. Yeah scientist miss stay full animal."
1037,Tony Marshall,HR Operations,2,628726,Male,"Candidate specializing in HR Operations. Expert in SuccessFactors, SAP. Practice white ten."
1038,Dustin Martinez,HR Operations,10,1176443,Male,"Candidate specializing in HR Operations. Expert in VBA, SuccessFactors. Still garden anything this yard student hospital indeed."
1039,Sean Erickson,People Analyst,2,1954000,Male,"Candidate specializing in People Analyst. Expert in Predictive Modeling, Workforce Planning. Skin energy lay drop."
1040,Amanda Perry,HR Generalist,2,485291,Non-Binary,"Candidate specializing in HR Generalist. Expert in Compliance, Payroll. Serious Mr mention say chance case tend."
1041,Lisa Jackson,HR Operations,7,982564,Non-Binary,"Candidate specializing in HR Operations. Expert in SAP, Process Mapping. Make PM seek dream."
1042,Thomas Grimes,HR Operations,12,1723015,Non-Binary,"Candidate specializing in HR Operations. Expert in VBA, SuccessFactors. Today development school Republican cup serious."
1043,Tiffany Thompson,HR Operations,6,724293,Male,"Candidate specializing in HR Operations. Expert in SAP, SuccessFactors. Open relationship whose second see."
1044,Destiny Bolton,People Analyst,4,1414760,Female,"Candidate specializing in People Analyst. Expert in Attrition Analysis, Workforce Planning. Memory performance forward shake develop sea country."
1045,Denise Cuevas,HR Generalist,4,1210611,Female,"Candidate specializing in HR Generalist. Expert in Payroll, Employee Engagement. Store charge modern around."
1046,Joshua Moyer,People Analyst,0,1813250,Female,"Candidate specializing in People Analyst. Expert in Predictive Modeling, Workforce Planning. Market huge either safe establish."
1047,Mary Simmons,HR Operations,12,983387,Male,"Candidate specializing in HR Operations. Expert in SAP, SuccessFactors. No among crime style list weight money hour."
1048,Shelby Jones,HR Operations,2,729904,Male,"Candidate specializing in HR Operations. Expert in Process Mapping, SAP. Forget evening plan rate."
1049,Matthew Duke,Data Analyst,7,1769248,Male,"Candidate specializing in Data Analyst. Expert in Tableau, Power BI. Different beautiful address."
1050,Amanda Tran,Data Analyst,13,524661,Female,"Candidate specializing in Data Analyst. Expert in Power BI, Statistics. New suggest argue get resource continue."
1051,Gregory Reynolds,HR Generalist,11,1716185,Non-Binary,"Candidate specializing in HR Generalist. Expert in Employee Engagement, Payroll. Significant issue approach garden."
1052,Kimberly Thomas,People Analyst,14,1494413,Male,"Candidate specializing in People Analyst. Expert in HRIS, Attrition Analysis. Attorney let statement movie medical."
1053,Marissa Rios,HR Generalist,3,1685088,Female,"Candidate specializing in HR Generalist. Expert in Compliance, Employee Engagement. Available lay system camera fast hour."
1054,Michelle Escobar,HR Operations,15,1097208,Female,"Candidate specializing in HR Operations. Expert in VBA, SAP. Think catch car eight choice."
1055,Michael Garcia,People Analyst,7,711361,Male,"Candidate specializing in People Analyst. Expert in Attrition Analysis, Predictive Modeling. Budget his coach instead."
1056,Kari Molina,People Analyst,1,993248,Non-Binary,"Candidate specializing in People Analyst. Expert in Attrition Analysis, HRIS. Watch third meet find."
1057,Jason Romero,HR Operations,1,832968,Female,"Candidate specializing in HR Operations. Expert in VBA, SuccessFactors. Source ten foot."
1058,Eric Bryan,HR Generalist,2,1984990,Non-Binary,"Candidate specializing in HR Generalist. Expert in Employee Engagement, Onboarding. Rise girl history western pretty expert able."
1059,Oscar Khan,People Analyst,7,485925,Female,"Candidate specializing in People Analyst. Expert in HRIS, Attrition Analysis. Short box general."
1060,Stephen Sharp,People Analyst,10,820813,Non-Binary,"Candidate specializing in People Analyst. Expert in HRIS, Attrition Analysis. Present five southern be significant agent case must."
1061,Bradley Chapman,People Analyst,12,779239,Non-Binary,"Candidate specializing in People Analyst. Expert in Workforce Planning, Attrition Analysis. East doctor whose."
1062,Russell Smith,HR Operations,15,1503315,Male,"Candidate specializing in HR Operations. Expert in SAP, SuccessFactors. Girl remember meeting outside official current."
1063,Luis Nelson,People Analyst,14,646146,Male,"Candidate specializing in People Analyst. Expert in Workforce Planning, HRIS. Buy suffer either agent feel."
1064,Shannon Skinner,People Analyst,10,633267,Male,"Candidate specializing in People Analyst. Expert in Predictive Modeling, Workforce Planning. Section will television culture."
1065,Terri Powell,People Analyst,9,1774006,Female,"Candidate specializing in People Analyst. Expert in Attrition Analysis, Predictive Modeling. Southern if keep past."
1066,Shelby Parks,People Analyst,5,1131434,Male,"Candidate specializing in People Analyst. Expert in Workforce Planning, Attrition Analysis. International federal professor I life tough always."
1067,Sierra Watts,Data Analyst,11,769602,Female,"Candidate specializing in Data Analyst. Expert in Statistics, SQL. Mother money close director."
1068,Aaron Meyers,Data Analyst,3,428907,Female,"Candidate specializing in Data Analyst. Expert in Python, Tableau. Apply education only less could fly approach."
